City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Mnogovershinnyy,RU,52.95,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
11,Hermanus,ZA,54.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Songjianghe,CN,55.54,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
28,Port Elizabeth,ZA,57.09,clear sky,-33.918,25.5701,39 On Nile Guest House
31,Yar-Sale,RU,57.25,overcast clouds,66.8333,70.8333,Yalemd
40,Cape Town,ZA,59.88,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
41,Vestmanna,FO,52.72,few clouds,62.1564,-7.1664,Vestmanna Camping
42,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
43,Vardo,NO,53.58,clear sky,70.3705,31.1107,Vardø Hotel AS
62,Vitim,RU,54.1,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
65,Oulainen,FI,57.81,scattered clouds,64.2667,24.8,Hotelli Ravintola Kasari
69,Solotcha,RU,59.7,clear sky,54.7917,39.8442,Park Hotel Paustovskij
77,Kruisfontein,ZA,54.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
78,Bredasdorp,ZA,52.79,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
82,Castro,BR,56.46,clear sky,-24.7911,-50.0119,CHACARA BAILLY
86,Esperance,AU,52.66,overcast clouds,-33.8667,121.9,Hospitality Esperance
88,Minas,UY,57.65,clear sky,-34.3759,-55.2377,Hotel Minas
92,Talcahuano,CL,53.28,few clouds,-36.7167,-73.1167,departamento comodo
96,Iqaluit,CA,53.33,scattered clouds,63.7506,-68.5145,Frobisher Inn
98,Moree,AU,54.91,light rain,-29.4667,149.85,Molika Springs Motel
113,Narsaq,GL,59.22,few clouds,60.9167,-46.05,Sleep In Narsaq
117,Bolshaya Rechka,RU,55.67,few clouds,51.9503,104.7355,Hotel Beliy ruchey
