City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,49.24,87,3,9.95,clear sky
1,Talaya,RU,61.3833,152.75,56.21,80,99,4.61,overcast clouds
2,Aksu,CN,41.1231,80.2644,81.3,36,97,7.83,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,28.87,94,17,3.06,few clouds
4,Punta Arenas,CL,-53.15,-70.9167,39.31,60,40,11.5,scattered clouds
5,Port Keats,AU,-14.25,129.55,71.29,54,0,6.87,clear sky
6,Pilar,BR,-9.5972,-35.9567,80.53,85,60,7.16,broken clouds
7,Hualmay,PE,-11.0964,-77.6139,66.6,70,18,9.48,few clouds
8,Grafton,US,42.207,-71.6856,83.12,50,0,8.05,clear sky
9,Mnogovershinnyy,RU,53.9353,139.9242,52.95,99,100,2.26,overcast clouds
10,Hithadhoo,MV,-0.6,73.0833,81.93,75,6,8.16,clear sky
11,Hermanus,ZA,-34.4187,19.2345,54.81,77,100,13.11,overcast clouds
12,Bluff,NZ,-46.6,168.3333,38.57,85,98,10.65,overcast clouds
13,East London,ZA,-33.0153,27.9116,65.25,81,100,5.84,overcast clouds
14,Qaanaaq,GL,77.484,-69.3632,39.07,71,97,7.07,overcast clouds
15,Harrison,US,30.4091,-89.0436,88.11,75,20,11.5,few clouds
16,Hurghada,EG,27.2574,33.8129,93.24,24,0,11.5,clear sky
17,Rikitea,PF,-23.1203,-134.9692,73.13,72,60,21.7,broken clouds
18,Ushuaia,AR,-54.8,-68.3,38.82,87,40,2.3,scattered clouds
19,Upernavik,GL,72.7868,-56.1549,41.9,80,100,7.34,overcast clouds
20,Guerrero Negro,MX,27.9769,-114.0611,82.26,47,2,13.35,clear sky
21,Dongsheng,CN,39.8161,109.9776,71.83,84,5,6.82,clear sky
22,Songjianghe,CN,42.1859,127.479,55.54,97,0,4.52,clear sky
23,Albany,US,42.6001,-73.9662,85.95,49,85,1.01,overcast clouds
24,Hilo,US,19.7297,-155.09,89.28,90,100,5.75,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,43.72,81,96,0.89,overcast clouds
26,Huaral,PE,-11.495,-77.2078,68.14,64,16,8.37,few clouds
27,Jamestown,US,42.097,-79.2353,76.59,45,75,10.36,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,57.09,98,0,1.01,clear sky
29,Polovinnoye,RU,54.7914,65.9864,65.77,73,16,3.38,few clouds
30,Vao,NC,-22.6667,167.4833,68.02,57,14,16.96,few clouds
31,Yar-Sale,RU,66.8333,70.8333,57.25,74,100,12.35,overcast clouds
32,Vila Velha,BR,-20.3297,-40.2925,76.95,62,0,13.8,clear sky
33,Pisco,PE,-13.7,-76.2167,63.01,82,40,8.05,mist
34,Dwarka,IN,22.2394,68.9678,81.61,89,100,7.61,moderate rain
35,Ribeira Grande,PT,38.5167,-28.7,77.4,73,40,13.8,scattered clouds
36,Yellowknife,CA,62.456,-114.3525,63.12,39,20,13.8,few clouds
37,Zhigansk,RU,66.7697,123.3711,48.38,77,16,20.85,few clouds
38,Praia,CV,14.9215,-23.5087,84.74,61,20,9.22,few clouds
39,Piatra Soimului,RO,46.8333,26.4333,63.36,12,61,5.35,light rain
40,Cape Town,ZA,-33.9258,18.4232,59.88,77,40,10.36,scattered clouds
41,Vestmanna,FO,62.1564,-7.1664,52.72,82,20,6.91,few clouds
42,Klaksvik,FO,62.2266,-6.589,52.72,81,100,11.52,overcast clouds
43,Vardo,NO,70.3705,31.1107,53.58,87,0,10.36,clear sky
44,Belmonte,BR,-15.8631,-38.8828,76.32,78,60,10.4,broken clouds
45,Singapore,SG,1.2897,103.8501,84.2,80,75,4.61,broken clouds
46,Norman Wells,CA,65.282,-126.8329,62.64,45,75,4.61,broken clouds
47,Vaini,TO,-21.2,-175.2,73.56,83,40,11.5,scattered clouds
48,Central Point,US,42.376,-122.9164,84.61,40,0,3.44,clear sky
49,Thompson,CA,55.7435,-97.8558,77.16,47,20,9.22,few clouds
50,Faanui,PF,-16.4833,-151.75,78.22,75,9,14.27,clear sky
51,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,100,10.0,overcast clouds
52,Atuona,PF,-9.8,-139.0333,76.86,70,59,28.36,broken clouds
53,Aksarka,RU,66.5606,67.7975,56.55,85,100,12.17,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,40,25.32,scattered clouds
55,Werda,BW,-25.2667,23.2833,67.48,21,1,8.3,clear sky
56,Arys,KZ,42.4252,68.795,75.51,34,0,12.5,clear sky
57,Airai,TL,-8.9266,125.4092,56.88,93,61,3.13,broken clouds
58,Avarua,CK,-21.2078,-159.775,75.25,78,49,13.8,scattered clouds
59,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,mist
60,Flores,GT,16.9226,-89.8994,81.09,78,99,3.33,overcast clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,61.95,58,0,18.99,clear sky
62,Vitim,RU,59.4511,112.5578,54.1,94,100,3.91,overcast clouds
63,Ostrovnoy,RU,68.0531,39.5131,53.65,88,7,6.93,light rain
64,Lompoc,US,34.6391,-120.4579,78.94,74,40,13.8,mist
65,Oulainen,FI,64.2667,24.8,57.81,58,48,11.27,scattered clouds
66,Zheleznodorozhnyy,RU,55.7503,38.0042,70.21,61,6,4.12,clear sky
67,Ponta Delgada,PT,37.7333,-25.6667,75.92,64,20,8.05,few clouds
68,Massaguet,TD,12.4755,15.4365,83.16,60,38,6.76,scattered clouds
69,Solotcha,RU,54.7917,39.8442,59.7,68,0,4.47,clear sky
70,Yandyki,RU,45.7691,47.1258,81.23,47,77,13.15,broken clouds
71,Saint-Philippe,RE,-21.3585,55.7679,64.22,69,41,13.31,scattered clouds
72,Provideniya,RU,64.3833,-173.3,50.49,91,100,6.06,overcast clouds
73,Znamenka,RU,52.4167,41.4311,70.12,71,13,11.3,few clouds
74,Fairbanks,US,64.8378,-147.7164,63.09,60,0,0.0,clear sky
75,Harper,LR,4.375,-7.7169,76.35,78,99,10.65,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,68.29,64,20,13.8,few clouds
77,Kruisfontein,ZA,-34.0033,24.7314,54.88,91,100,2.28,overcast clouds
78,Bredasdorp,ZA,-34.5322,20.0403,52.79,86,100,5.68,overcast clouds
79,Barrow,US,71.2906,-156.7887,44.62,87,100,20.71,mist
80,Krasnaya Zarya,RU,52.7825,37.6806,66.07,65,16,11.5,few clouds
81,Hasaki,JP,35.7333,140.8333,81.28,86,17,24.87,few clouds
82,Castro,BR,-24.7911,-50.0119,56.46,59,0,5.84,clear sky
83,Yaan,NG,7.3833,8.5667,71.15,97,100,3.58,light rain
84,Beidao,CN,34.5686,105.8933,73.83,79,75,6.2,broken clouds
85,Mayo,US,38.8876,-76.5119,89.37,56,0,3.44,clear sky
86,Esperance,AU,-33.8667,121.9,52.66,72,91,9.04,overcast clouds
87,Clyde River,CA,70.4692,-68.5914,39.43,93,100,12.66,overcast clouds
88,Minas,UY,-34.3759,-55.2377,57.65,67,0,8.93,clear sky
89,Faya,SA,18.3851,42.4509,68.11,70,81,3.11,broken clouds
90,Victoria,HK,22.2855,114.1577,81.32,93,99,3.0,overcast clouds
91,Maridi,SS,4.9158,29.4742,65.55,96,100,2.89,overcast clouds
92,Talcahuano,CL,-36.7167,-73.1167,53.28,71,20,9.22,few clouds
93,Acarau,BR,-2.8856,-40.12,80.82,73,90,18.21,overcast clouds
94,Nanortalik,GL,60.1432,-45.2371,45.59,89,49,8.43,scattered clouds
95,North Bend,US,43.4065,-124.2243,76.24,88,20,8.05,few clouds
96,Iqaluit,CA,63.7506,-68.5145,53.33,62,40,6.91,scattered clouds
97,Pozo Colorado,PY,-23.4923,-58.7972,75.51,31,0,7.61,clear sky
98,Moree,AU,-29.4667,149.85,54.91,81,100,13.94,light rain
99,Scarborough,GB,54.2797,-0.4044,73.33,70,52,11.99,broken clouds
100,Deputatskiy,RU,69.3,139.9,47.07,82,100,4.52,overcast clouds
101,Acari,PE,-15.4311,-74.6158,73.18,54,28,8.81,scattered clouds
102,Sao Filipe,CV,14.8961,-24.4956,78.98,76,6,12.5,clear sky
